,Step,Value
1624963409,4703710,32.20143509
1624963415,4705810,34.20535278
1624963456,4719910,33.67097092
1624963468,4724210,34.63252258
1624963484,4729510,33.46987534
1624963486,4730210,32.14445877
1624963492,4732210,33.77426529
1624963498,4734810,33.76639938
1624963524,4743810,34.05928421
1624963539,4749010,34.30835342
1624963556,4755010,34.13851929
1624963558,4755710,34.60704803
1624963566,4758610,33.1361084
1624963581,4763910,33.04499054
1624963583,4764310,33.02482986
1624963586,4765610,31.84488106
1624963590,4767010,30.46051025
1624963597,4769410,32.13624573
1624963600,4770610,32.70478058
1624963610,4773810,32.12154388
1624963612,4774510,34.28633881
1624963616,4775910,34.20714951
1624963648,4787210,34.60289383
1624963651,4788310,34.46915054
1624963653,4788910,34.14760971
1624963664,4793010,33.07755661
1624963666,4793410,32.85723495
1624963670,4794810,34.68766022
1624963677,4797110,33.85087967
1624963707,4807710,34.41799164
1624963719,4812010,34.65540695
1624963731,4816410,34.22027206
1624963737,4818210,34.33950043
1624963741,4819810,34.2323761
1624963749,4822810,33.60358047
1624963769,4829710,34.84769058
1624963805,4842210,35.08648682
1624963817,4846510,34.56402588
1624963818,4846710,34.39690399
1624963828,4850410,34.55046844
1624963828,4850510,34.46033096
1624963831,4851510,34.32535553
1624963833,4852310,33.79507828
1624963840,4854810,34.59552002
1624963864,4863110,33.8297348
1624963865,4863610,33.26991272
1624963870,4865110,35.88170624
1624963925,4884510,31.99615097
1624963964,4898310,34.35912704
1624964024,4919510,33.52867126
1624964046,4927310,32.62990189
1624964061,4932710,32.40089798
1624964068,4935210,30.77344322
1624964104,4947810,34.99423218
1624964127,4955910,34.49142075
1624964141,4960810,32.60797882
1624964144,4962010,32.4413414
1624964149,4963910,31.36089897
1624964166,4969810,32.94563293
1624964199,4981410,33.39709473
1624964222,4989310,34.39167786
1624964234,4993510,35.20492554
1624964252,4999910,34.60947037
