Wall time,Step,Value
1624521742.4967892,4310,24.76836395263672
1624521743.2067056,4610,23.63284683227539
1624521751.2875783,7210,25.695384979248047
1624521757.9954743,9510,22.912811279296875
1624521779.5310776,16810,25.279254913330078
1624521798.0886736,23010,25.461299896240234
1624521799.6973126,23510,24.873823165893555
1624521806.108879,25610,26.46329116821289
1624521811.5837667,27410,22.64847755432129
1624521821.4604785,30910,25.13804054260254
1624521822.4356937,31110,26.518571853637695
1624521824.2925937,31910,23.452152252197266
1624521870.6235917,47510,25.667455673217773
1624521888.6912682,53710,23.857315063476562
1624521901.2320566,58010,26.141754150390625
1624521903.2502413,58710,25.41475486755371
1624521917.4259079,63510,24.14801025390625
1624521921.1063366,64810,24.50943374633789
1624521928.418577,67210,25.22644805908203
1624521940.6346927,71510,25.609394073486328
1624521943.0596197,72310,25.08003807067871
1624521960.839662,78610,26.645292282104492
1624521965.84921,80310,25.502634048461914
1624521967.391192,80910,25.533676147460938
1624521975.457637,83710,27.158214569091797
1624522015.048349,97210,24.176223754882812
1624522027.6124623,101510,26.84681510925293
1624522042.7565937,106710,27.736637115478516
1624522053.7167733,110510,23.634626388549805
1624522075.9714413,118110,26.309499740600586
1624522099.6244376,126210,24.756311416625977
1624522115.4905918,131710,25.94175148010254
1624522116.4519074,132010,25.74565887451172
1624522120.5990672,133410,26.561168670654297
1624522121.670736,133810,23.99102020263672
1624522135.7383966,138610,26.541601181030273
1624522137.9641817,139310,26.53586769104004
1624522150.4911368,143710,25.702543258666992
1624522159.2287674,146710,25.2397403717041
1624522175.9874384,152410,26.61220359802246
1624522184.5080025,155310,24.8548641204834
1624522188.714127,156910,26.01653480529785
1624522193.660609,158510,26.191312789916992
1624522224.913304,169210,26.198238372802734
1624522237.304395,173510,23.001516342163086
1624522238.0172596,173810,25.377979278564453
1624522269.2216291,184510,26.206321716308594
1624522275.57958,186710,26.95100975036621
1624522278.829745,187810,25.884307861328125
1624522290.582412,191810,27.674057006835938
1624522295.6150422,193510,25.20468521118164
1624522299.2123075,194810,25.803056716918945
1624522324.8617747,203710,25.501258850097656
1624522342.3503125,209710,27.64505386352539
1624522368.0444458,218810,26.58315086364746
1624522371.546938,220010,27.227569580078125
1624522381.328675,223210,26.409561157226562
1624522382.6951368,223810,25.417041778564453
1624522390.043294,226310,28.596378326416016
1624522403.1426985,230810,27.055496215820312
1624522427.269314,239010,28.315853118896484
1624522440.683739,243710,28.658693313598633
