Wall time,Step,Value
1624950545.8619654,4310,25.883180618286133
1624950546.6140814,4610,27.748790740966797
1624950553.4393675,7210,24.159069061279297
1624950559.272258,9510,27.335134506225586
1624950577.953312,16810,25.332984924316406
1624950593.966247,23010,25.43924331665039
1624950595.258913,23510,24.743179321289062
1624950600.6460316,25610,23.594619750976562
1624950605.3338785,27410,27.742082595825195
1624950614.5282943,30910,25.134246826171875
1624950615.078037,31110,23.520164489746094
1624950617.111166,31910,27.508150100708008
1624950657.5066404,47510,25.67037582397461
1624950673.828955,53710,26.053955078125
1624950685.1280782,58010,25.313737869262695
1624950686.9533656,58710,25.609806060791016
1624950699.4284177,63510,25.8900203704834
1624950702.843525,64810,26.921031951904297
1624950710.687384,67210,23.81747055053711
1624950722.331782,71510,24.436569213867188
1624950724.5899935,72310,25.817659378051758
1624950741.6172712,78610,24.024150848388672
1624950746.2440863,80310,25.29212188720703
1624950747.8481953,80910,25.966461181640625
1624950755.5303984,83710,24.877994537353516
1624950792.6143887,97210,25.969179153442383
1624950804.254077,101510,26.233516693115234
1624950818.606613,106710,26.745214462280273
1624950828.8852189,110510,27.310726165771484
1624950849.6147535,118110,24.62877082824707
1624950871.4073465,126210,25.813684463500977
1624950886.3871644,131710,26.374418258666992
1624950887.1959174,132010,26.4412841796875
1624950891.0017374,133410,27.65541648864746
1624950892.1407733,133810,26.661012649536133
1624950905.3478482,138610,27.59851837158203
1624950907.2679818,139310,25.36343765258789
1624950919.275517,143710,25.342092514038086
1624950927.465835,146710,25.246421813964844
1624950943.0901084,152410,24.711687088012695
1624950951.0680282,155310,26.585033416748047
1624950955.5679226,156910,26.03029441833496
1624950959.9543114,158510,25.12312889099121
1624950989.25956,169210,26.71078872680664
1624951001.1131966,173510,23.12718963623047
1624951001.95973,173810,25.706552505493164
1624951031.213126,184510,26.85307502746582
1624951037.345793,186710,23.976985931396484
1624951040.4028387,187810,25.58785057067871
1624951051.4130723,191810,25.31619644165039
1624951056.1649747,193510,27.170162200927734
1624951059.743245,194810,23.469209671020508
1624951084.4683435,203710,25.20681381225586
1624951100.9440768,209710,26.412506103515625
1624951125.995693,218810,26.404298782348633
1624951129.3330696,220010,24.13346290588379
1624951138.231731,223210,24.91169548034668
1624951139.8417995,223810,25.213790893554688
1624951146.7218914,226310,26.587175369262695
1624951159.0667248,230810,25.13665199279785
1624951181.492076,239010,27.37289810180664
1624951194.397958,243710,27.56403160095215
1624951199.1175504,245410,26.184106826782227
